"주요품목별(1)",2023. 01,2023. 02,2023. 03,2023. 04,2023. 05,2023. 06,2023. 07,2023. 08,2023. 09,2023. 10,2023. 11,2023. 12,2024. 01,2024. 02,2024. 03,2024. 04,2024. 05,2024. 06,2024. 07,2024. 08,2024. 09,2024. 10,2024. 11,2024. 12
"쌀",92.23,92.97,92.29,91.72,92.49,93.60,95.00,100.54,105.16,110.76,106.41,105.29,104.16,101.60,101.34,97.11,99.79,99.24,99.51,98.47,97.53,99.88,99.21,99.55
"돼지고기",117.86,111.65,110.22,114.52,123.91,127.48,122.85,122.51,125.55,123.36,116.63,117.63,114.77,111.81,110.92,115.73,119.20,126.07,132.18,126.92,128.28,128.95,126.11,124.96
"국산쇠고기",106.90,101.72,100.53,99.87,99.86,101.14,100.20,100.88,103.95,107.45,103.62,103.72,105.46,102.61,99.96,98.89,98.38,97.11,95.02,96.02,99.95,99.70,100.80,102.17
"우유",116.27,116.53,116.53,116.53,116.91,116.91,116.91,116.91,116.91,121.78,124.01,124.18,123.58,124.08,123.92,122.79,123.28,123.28,123.50,124.35,123.19,124.05,124.12,123.63
"라면",123.23,124.23,122.41,122.79,124.17,123.73,120.89,120.86,122.07,121.17,118.12,117.76,117.90,117.98,116.22,116.19,116.67,117.18,115.28,114.41,117.23,116.15,117.46,117.76
"스낵과자",116.61,116.25,115.15,116.81,116.81,116.81,113.88,113.88,113.68,114.08,114.08,114.08,113.74,112.59,113.74,113.74,113.74,113.74,113.74,112.73,113.08,112.89,112.89,112.68
"달걀",133.89,129.19,126.84,126.76,132.20,131.79,128.90,129.42,129.39,134.29,134.04,134.83,135.45,135.15,133.99,134.34,135.68,134.60,133.52,133.14,129.54,132.32,133.25,132.82
"닭고기",132.01,127.69,127.59,130.49,132.60,131.93,133.33,135.09,135.07,133.07,128.78,128.93,124.87,126.21,129.01,128.04,126.79,123.60,126.91,127.31,126.38,125.22,124.57,125.41
"두부",123.83,123.87,121.51,123.54,122.90,121.92,121.72,121.92,120.95,121.63,121.63,120.15,121.05,120.70,121.42,119.57,119.84,122.76,121.14,120.56,119.55,120.84,115.41,121.29
"마른멸치",102.59,105.16,105.49,106.53,108.44,110.10,109.25,108.97,109.84,109.41,110.17,109.84,107.67,108.09,108.66,108.01,107.24,107.29,108.14,108.35,108.17,108.18,108.54,108.69
"고등어",117.74,115.87,116.83,122.38,122.48,122.22,116.90,114.34,114.99,116.92,116.56,119.50,119.01,116.82,114.46,110.78,114.03,108.15,106.18,110.72,115.18,112.44,117.76,119.08
"파",102.29,109.50,114.31,81.86,100.88,96.09,105.76,109.63,106.36,144.89,161.07,168.63,183.15,169.74,141.74,107.89,111.60,93.03,96.47,109.21,115.32,113.70,122.76,133.56
"참기름",131.56,131.80,135.35,135.92,127.87,131.35,130.46,134.55,132.93,134.33,139.33,140.24,137.64,134.55,135.23,134.40,133.31,135.05,134.48,139.21,141.92,143.07,145.40,145.40
"맛김",110.73,108.37,105.76,101.92,103.79,101.75,101.75,96.67,99.85,102.34,98.34,105.24,101.54,102.12,102.20,108.75,105.74,109.86,119.03,121.02,121.02,121.02,121.02,121.02
